[2025-01-01 15:16:23] Analog Value 0: 89, Voltage 0: 0.0071875
[2025-01-01 15:16:23] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:23] Temperature: 5.44C, 41.79F

[2025-01-01 15:16:25] Analog Value 0: 89, Voltage 0: 0.0071875
[2025-01-01 15:16:25] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:25] Temperature: 5.38C, 41.67F

[2025-01-01 15:16:27] Analog Value 0: 89, Voltage 0: 0.0071875
[2025-01-01 15:16:27] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:27] Temperature: 5.44C, 41.79F

[2025-01-01 15:16:29] Analog Value 0: 90, Voltage 0: 0.0070625
[2025-01-01 15:16:29] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:29] Temperature: 5.38C, 41.67F

[2025-01-01 15:16:31] Analog Value 0: 89, Voltage 0: 0.0070625
[2025-01-01 15:16:31] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:31] Temperature: 5.38C, 41.67F

[2025-01-01 15:16:33] Analog Value 0: 89, Voltage 0: 0.007125
[2025-01-01 15:16:33] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:33] Temperature: 5.38C, 41.67F

[2025-01-01 15:16:34] Analog Value 0: 90, Voltage 0: 0.0070625
[2025-01-01 15:16:34] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:34] Temperature: 5.38C, 41.67F

[2025-01-01 15:16:36] Analog Value 0: 90, Voltage 0: 0.007125
[2025-01-01 15:16:36] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:36] Temperature: 5.19C, 41.34F

[2025-01-01 15:16:38] Analog Value 0: 10621, Voltage 0: 0.6641875
[2025-01-01 15:16:38] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:38] Temperature: 4.62C, 40.33F

[2025-01-01 15:16:40] Analog Value 0: 10960, Voltage 0: 0.6851875000000001
[2025-01-01 15:16:40] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:40] Temperature: 4.56C, 40.21F

[2025-01-01 15:16:42] Analog Value 0: 11120, Voltage 0: 0.6953125
[2025-01-01 15:16:42] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:42] Temperature: 4.50C, 40.10F

[2025-01-01 15:16:44] Analog Value 0: 11169, Voltage 0: 0.698125
[2025-01-01 15:16:44] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:44] Temperature: 4.44C, 39.99F

[2025-01-01 15:16:46] Analog Value 0: 11179, Voltage 0: 0.69875
[2025-01-01 15:16:46] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:46] Temperature: 4.44C, 39.99F

[2025-01-01 15:16:47] Analog Value 0: 10602, Voltage 0: 0.661875
[2025-01-01 15:16:47] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:47] Temperature: 4.44C, 39.99F

[2025-01-01 15:16:49] Analog Value 0: 10594, Voltage 0: 0.6621875
[2025-01-01 15:16:49] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:49] Temperature: 4.44C, 39.99F

[2025-01-01 15:16:51] Analog Value 0: 11150, Voltage 0: 0.6968125000000001
[2025-01-01 15:16:51] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:51] Temperature: 4.44C, 39.99F

[2025-01-01 15:16:53] Analog Value 0: 11117, Voltage 0: 0.6949375
[2025-01-01 15:16:53] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:53] Temperature: 4.44C, 39.99F

[2025-01-01 15:16:55] Analog Value 0: 11213, Voltage 0: 0.700875
[2025-01-01 15:16:55] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:55] Temperature: 4.44C, 39.99F

[2025-01-01 15:16:57] Analog Value 0: 11215, Voltage 0: 0.7009375
[2025-01-01 15:16:57] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:57] Temperature: 4.44C, 39.99F

[2025-01-01 15:16:59] Analog Value 0: 11229, Voltage 0: 0.701875
[2025-01-01 15:16:59] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:16:59] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:00] Analog Value 0: 11231, Voltage 0: 0.701875
[2025-01-01 15:17:00] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:00] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:02] Analog Value 0: 11217, Voltage 0: 0.7010625
[2025-01-01 15:17:02] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:02] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:04] Analog Value 0: 11235, Voltage 0: 0.7021875
[2025-01-01 15:17:04] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:04] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:06] Analog Value 0: 11239, Voltage 0: 0.7025
[2025-01-01 15:17:06] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:06] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:08] Analog Value 0: 11247, Voltage 0: 0.7029375
[2025-01-01 15:17:08] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:08] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:10] Analog Value 0: 11252, Voltage 0: 0.70325
[2025-01-01 15:17:10] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:10] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:11] Analog Value 0: 11256, Voltage 0: 0.7035
[2025-01-01 15:17:11] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:11] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:13] Analog Value 0: 11269, Voltage 0: 0.7043125
[2025-01-01 15:17:13] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:13] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:15] Analog Value 0: 11282, Voltage 0: 0.705125
[2025-01-01 15:17:15] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:15] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:17] Analog Value 0: 11278, Voltage 0: 0.704875
[2025-01-01 15:17:17] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:17] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:19] Analog Value 0: 11283, Voltage 0: 0.7051875
[2025-01-01 15:17:19] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:19] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:21] Analog Value 0: 11289, Voltage 0: 0.7055625
[2025-01-01 15:17:21] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:21] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:23] Analog Value 0: 11287, Voltage 0: 0.7054375
[2025-01-01 15:17:23] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:23] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:24] Analog Value 0: 11276, Voltage 0: 0.7046875
[2025-01-01 15:17:24] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 15:17:24] Temperature: 4.44C, 39.99F

[2025-01-01 15:17:26] Analog Value 0: 11271, Voltage 0: 0.704375
