[2025-01-01 14:08:19] Analog Value 0: 95, Voltage 0: 0.007625
[2025-01-01 14:08:19] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 14:08:19] Temperature: 7.44C, 45.39F

[2025-01-01 14:08:21] Analog Value 0: 95, Voltage 0: 0.0076875
[2025-01-01 14:08:21] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 14:08:21] Temperature: 7.44C, 45.39F

[2025-01-01 14:08:22] Analog Value 0: 96, Voltage 0: 0.0076875
[2025-01-01 14:08:22] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 14:08:22] Temperature: 7.44C, 45.39F

[2025-01-01 14:08:24] Analog Value 0: 95, Voltage 0: 0.0075625
[2025-01-01 14:08:24] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 14:08:24] Temperature: 7.38C, 45.27F

[2025-01-01 14:08:26] Analog Value 0: 96, Voltage 0: 0.0075625
[2025-01-01 14:08:26] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 14:08:26] Temperature: 7.38C, 45.27F

[2025-01-01 14:08:28] Analog Value 0: 96, Voltage 0: 0.0075625
[2025-01-01 14:08:28] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 14:08:28] Temperature: 7.38C, 45.27F

[2025-01-01 14:08:30] Analog Value 0: 95, Voltage 0: 0.007625
[2025-01-01 14:08:30] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 14:08:30] Temperature: 7.38C, 45.27F

[2025-01-01 14:08:32] Analog Value 0: 96, Voltage 0: 0.0075625
[2025-01-01 14:08:32] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 14:08:32] Temperature: 7.44C, 45.39F

[2025-01-01 14:08:34] Analog Value 0: 96, Voltage 0: 0.007625
[2025-01-01 14:08:34] Analog Value 1: 32767, Voltage 1: 2.0479375
[2025-01-01 14:08:34] Temperature: 7.38C, 45.27F

[2025-01-01 14:08:35] Analog Value 0: 574, Voltage 0: 0.03675
