[2025-01-01 13:22:52] Analog Value 0: 1114, Voltage 0: 0.07125000000000001
[2025-01-01 13:22:52] Analog Value 1: 27467, Voltage 1: 1.71675
[2025-01-01 13:22:52] Temperature: 13.75C, 56.75F

[2025-01-01 13:22:54] Analog Value 0: 1113, Voltage 0: 0.0710625
[2025-01-01 13:22:54] Analog Value 1: 27462, Voltage 1: 1.716375
[2025-01-01 13:22:54] Temperature: 13.75C, 56.75F

[2025-01-01 13:22:55] Analog Value 0: 1111, Voltage 0: 0.0710625
[2025-01-01 13:22:55] Analog Value 1: 27462, Voltage 1: 1.716375
[2025-01-01 13:22:55] Temperature: 13.75C, 56.75F

[2025-01-01 13:22:57] Analog Value 0: 1110, Voltage 0: 0.07100000000000001
[2025-01-01 13:22:57] Analog Value 1: 27468, Voltage 1: 1.7166875000000001
[2025-01-01 13:22:57] Temperature: 13.75C, 56.75F

[2025-01-01 13:22:59] Analog Value 0: 1108, Voltage 0: 0.0708125
[2025-01-01 13:22:59] Analog Value 1: 27468, Voltage 1: 1.71675
[2025-01-01 13:22:59] Temperature: 13.75C, 56.75F

[2025-01-01 13:23:01] Analog Value 0: 1107, Voltage 0: 0.0708125
[2025-01-01 13:23:01] Analog Value 1: 27463, Voltage 1: 1.7165625
[2025-01-01 13:23:01] Temperature: 13.75C, 56.75F

[2025-01-01 13:23:03] Analog Value 0: 1106, Voltage 0: 0.07075000000000001
[2025-01-01 13:23:03] Analog Value 1: 27463, Voltage 1: 1.716375
[2025-01-01 13:23:03] Temperature: 13.75C, 56.75F

[2025-01-01 13:23:05] Analog Value 0: 1105, Voltage 0: 0.0706875
[2025-01-01 13:23:05] Analog Value 1: 27468, Voltage 1: 1.7166875000000001
[2025-01-01 13:23:05] Temperature: 13.75C, 56.75F

[2025-01-01 13:23:07] Analog Value 0: 1104, Voltage 0: 0.0705625
[2025-01-01 13:23:07] Analog Value 1: 27463, Voltage 1: 1.7165000000000001
[2025-01-01 13:23:07] Temperature: 13.75C, 56.75F

[2025-01-01 13:23:08] Analog Value 0: 1103, Voltage 0: 0.07050000000000001
[2025-01-01 13:23:08] Analog Value 1: 27465, Voltage 1: 1.7166875000000001
[2025-01-01 13:23:08] Temperature: 13.75C, 56.75F

